Date,Day,State,Weekday
2025-04-18,Good Friday,TAS,Friday
2025-04-21,Easter Monday,TAS,Monday
2025-01-01,New Year's Day,TAS,Wednesday
2025-01-27,Australia Day,TAS,Monday
2025-03-10,Eight Hours Day,TAS,Monday
2025-04-25,ANZAC Day,TAS,Friday
2025-06-09,King's Birthday,TAS,Monday
2025-12-25,Christmas Day,TAS,Thursday
2025-12-26,Boxing Day,TAS,Friday
2026-04-03,Good Friday,TAS,Friday
2026-04-06,Easter Monday,TAS,Monday
2026-01-01,New Year's Day,TAS,Thursday
2026-01-26,Australia Day,TAS,Monday
2026-03-09,Eight Hours Day,TAS,Monday
2026-04-25,ANZAC Day,TAS,Saturday
2026-06-08,King's Birthday,TAS,Monday
2026-12-25,Christmas Day,TAS,Friday
2026-12-28,Boxing Day,TAS,Monday
2027-03-26,Good Friday,TAS,Friday
2027-03-29,Easter Monday,TAS,Monday
2027-01-01,New Year's Day,TAS,Friday
2027-01-26,Australia Day,TAS,Tuesday
2027-03-08,Eight Hours Day,TAS,Monday
2027-04-25,ANZAC Day,TAS,Sunday
2027-06-14,King's Birthday,TAS,Monday
2027-12-25,Christmas Day,TAS,Saturday
2027-12-27,Christmas Day (observed),TAS,Monday
2027-12-28,Boxing Day,TAS,Tuesday
2028-04-14,Good Friday,TAS,Friday
2028-04-17,Easter Monday,TAS,Monday
2028-01-03,New Year's Day,TAS,Monday
2028-01-26,Australia Day,TAS,Wednesday
2028-03-13,Eight Hours Day,TAS,Monday
2028-04-25,ANZAC Day,TAS,Tuesday
2028-06-12,King's Birthday,TAS,Monday
2028-12-25,Christmas Day,TAS,Monday
2028-12-26,Boxing Day,TAS,Tuesday
