Date,Day,State,Weekday
2025-04-18,Good Friday,NT,Friday
2025-04-21,Easter Monday,NT,Monday
2025-01-01,New Year's Day,NT,Wednesday
2025-01-27,Australia Day,NT,Monday
2025-04-25,ANZAC Day,NT,Friday
2025-04-19,Easter Saturday,NT,Saturday
2025-04-20,Easter Sunday,NT,Sunday
2025-05-05,May Day,NT,Monday
2025-06-09,King's Birthday,NT,Monday
2025-08-04,Picnic Day,NT,Monday
2025-12-26,Boxing Day,NT,Friday
2025-12-25,Christmas Day,NT,Thursday
2026-04-03,Good Friday,NT,Friday
2026-04-06,Easter Monday,NT,Monday
2026-01-01,New Year's Day,NT,Thursday
2026-01-26,Australia Day,NT,Monday
2026-04-25,ANZAC Day,NT,Saturday
2026-04-04,Easter Saturday,NT,Saturday
2026-04-05,Easter Sunday,NT,Sunday
2026-05-04,May Day,NT,Monday
2026-06-08,King's Birthday,NT,Monday
2026-08-03,Picnic Day,NT,Monday
2026-12-26,Boxing Day,NT,Saturday
2026-12-28,Boxing Day (observed),NT,Monday
2026-12-25,Christmas Day,NT,Friday
2027-03-26,Good Friday,NT,Friday
2027-03-29,Easter Monday,NT,Monday
2027-01-01,New Year's Day,NT,Friday
2027-01-26,Australia Day,NT,Tuesday
2027-04-26,ANZAC Day,NT,Monday
2027-03-27,Easter Saturday,NT,Saturday
2027-03-28,Easter Sunday,NT,Sunday
2027-05-03,May Day,NT,Monday
2027-06-14,King's Birthday,NT,Monday
2027-08-02,Picnic Day,NT,Monday
2027-12-26,Boxing Day,NT,Sunday
2027-12-28,Boxing Day (observed),NT,Tuesday
2027-12-25,Christmas Day,NT,Saturday
2027-12-27,Christmas Day (observed),NT,Monday
2028-04-14,Good Friday,NT,Friday
2028-04-17,Easter Monday,NT,Monday
2028-01-01,New Year's Day,NT,Saturday
2028-01-03,New Year's Day (observed),NT,Monday
2028-01-26,Australia Day,NT,Wednesday
2028-04-25,ANZAC Day,NT,Tuesday
2028-04-15,Easter Saturday,NT,Saturday
2028-04-16,Easter Sunday,NT,Sunday
2028-05-01,May Day,NT,Monday
2028-06-12,King's Birthday,NT,Monday
2028-08-07,Picnic Day,NT,Monday
2028-12-26,Boxing Day,NT,Tuesday
2028-12-25,Christmas Day,NT,Monday
