Date,Day,State,Weekday
2025-04-18,Good Friday,QLD,Friday
2025-04-21,Easter Monday,QLD,Monday
2025-01-01,New Year's Day,QLD,Wednesday
2025-01-27,Australia Day,QLD,Monday
2025-04-25,ANZAC Day,QLD,Friday
2025-04-19,Easter Saturday,QLD,Saturday
2025-04-20,Easter Sunday,QLD,Sunday
2025-05-05,Labour Day,QLD,Monday
2025-10-06,King's Birthday,QLD,Monday
2025-08-13,The Royal Queensland Show,QLD,Wednesday
2025-12-26,Boxing Day,QLD,Friday
2025-12-25,Christmas Day,QLD,Thursday
2026-04-03,Good Friday,QLD,Friday
2026-04-06,Easter Monday,QLD,Monday
2026-01-01,New Year's Day,QLD,Thursday
2026-01-26,Australia Day,QLD,Monday
2026-04-25,ANZAC Day,QLD,Saturday
2026-04-04,Easter Saturday,QLD,Saturday
2026-04-05,Easter Sunday,QLD,Sunday
2026-05-04,Labour Day,QLD,Monday
2026-10-05,King's Birthday,QLD,Monday
2026-08-12,The Royal Queensland Show,QLD,Wednesday
2026-12-26,Boxing Day,QLD,Saturday
2026-12-28,Boxing Day (observed),QLD,Monday
2026-12-25,Christmas Day,QLD,Friday
2027-03-26,Good Friday,QLD,Friday
2027-03-29,Easter Monday,QLD,Monday
2027-01-01,New Year's Day,QLD,Friday
2027-01-26,Australia Day,QLD,Tuesday
2027-04-26,ANZAC Day,QLD,Monday
2027-03-27,Easter Saturday,QLD,Saturday
2027-03-28,Easter Sunday,QLD,Sunday
2027-05-03,Labour Day,QLD,Monday
2027-10-04,King's Birthday,QLD,Monday
2027-08-11,The Royal Queensland Show,QLD,Wednesday
2027-12-26,Boxing Day,QLD,Sunday
2027-12-28,Boxing Day (observed),QLD,Tuesday
2027-12-25,Christmas Day,QLD,Saturday
2027-12-27,Christmas Day (observed),QLD,Monday
2028-04-14,Good Friday,QLD,Friday
2028-04-17,Easter Monday,QLD,Monday
2028-01-01,New Year's Day,QLD,Saturday
2028-01-03,New Year's Day (observed),QLD,Monday
2028-01-26,Australia Day,QLD,Wednesday
2028-04-25,ANZAC Day,QLD,Tuesday
2028-04-15,Easter Saturday,QLD,Saturday
2028-04-16,Easter Sunday,QLD,Sunday
2028-05-01,Labour Day,QLD,Monday
2028-10-02,King's Birthday,QLD,Monday
2028-08-16,The Royal Queensland Show,QLD,Wednesday
2028-12-26,Boxing Day,QLD,Tuesday
2028-12-25,Christmas Day,QLD,Monday
