Date,Day,State,Weekday
2025-04-18,Good Friday,WA,Friday
2025-04-21,Easter Monday,WA,Monday
2025-01-01,New Year's Day,WA,Wednesday
2025-01-27,Australia Day,WA,Monday
2025-03-03,Labour Day,WA,Monday
2025-04-20,Easter Sunday,WA,Sunday
2025-04-25,ANZAC Day,WA,Friday
2025-06-02,Western Australia Day,WA,Monday
2025-09-29,King's Birthday,WA,Monday
2025-12-26,Boxing Day,WA,Friday
2025-12-25,Christmas Day,WA,Thursday
2026-04-03,Good Friday,WA,Friday
2026-04-06,Easter Monday,WA,Monday
2026-01-01,New Year's Day,WA,Thursday
2026-01-26,Australia Day,WA,Monday
2026-03-02,Labour Day,WA,Monday
2026-04-05,Easter Sunday,WA,Sunday
2026-04-25,ANZAC Day,WA,Saturday
2026-04-27,ANZAC Day (observed),WA,Monday
2026-06-01,Western Australia Day,WA,Monday
2026-09-28,King's Birthday,WA,Monday
2026-12-26,Boxing Day,WA,Saturday
2026-12-28,Boxing Day (observed),WA,Monday
2026-12-25,Christmas Day,WA,Friday
2027-03-26,Good Friday,WA,Friday
2027-03-29,Easter Monday,WA,Monday
2027-01-01,New Year's Day,WA,Friday
2027-01-26,Australia Day,WA,Tuesday
2027-03-01,Labour Day,WA,Monday
2027-03-28,Easter Sunday,WA,Sunday
2027-04-25,ANZAC Day,WA,Sunday
2027-04-26,ANZAC Day (observed),WA,Monday
2027-06-07,Western Australia Day,WA,Monday
2027-09-27,King's Birthday,WA,Monday
2027-12-26,Boxing Day,WA,Sunday
2027-12-28,Boxing Day (observed),WA,Tuesday
2027-12-25,Christmas Day,WA,Saturday
2027-12-27,Christmas Day (observed),WA,Monday
2028-04-14,Good Friday,WA,Friday
2028-04-17,Easter Monday,WA,Monday
2028-01-01,New Year's Day,WA,Saturday
2028-01-03,New Year's Day (observed),WA,Monday
2028-01-26,Australia Day,WA,Wednesday
2028-03-06,Labour Day,WA,Monday
2028-04-16,Easter Sunday,WA,Sunday
2028-04-25,ANZAC Day,WA,Tuesday
2028-06-05,Western Australia Day,WA,Monday
2028-09-25,King's Birthday,WA,Monday
2028-12-26,Boxing Day,WA,Tuesday
2028-12-25,Christmas Day,WA,Monday
