Date,Day,State,Weekday
2025-04-18,Good Friday,VIC,Friday
2025-04-21,Easter Monday,VIC,Monday
2025-01-01,New Year's Day,VIC,Wednesday
2025-01-27,Australia Day,VIC,Monday
2025-03-10,Labour Day,VIC,Monday
2025-04-19,Easter Saturday,VIC,Saturday
2025-04-20,Easter Sunday,VIC,Sunday
2025-04-25,ANZAC Day,VIC,Friday
2025-06-09,King's Birthday,VIC,Monday
2025-09-26,Grand Final Day,VIC,Friday
2025-11-04,Melbourne Cup Day,VIC,Tuesday
2025-12-25,Christmas Day,VIC,Thursday
2025-12-26,Boxing Day,VIC,Friday
2026-04-03,Good Friday,VIC,Friday
2026-04-06,Easter Monday,VIC,Monday
2026-01-01,New Year's Day,VIC,Thursday
2026-01-26,Australia Day,VIC,Monday
2026-03-09,Labour Day,VIC,Monday
2026-04-04,Easter Saturday,VIC,Saturday
2026-04-05,Easter Sunday,VIC,Sunday
2026-04-25,ANZAC Day,VIC,Saturday
2026-06-08,King's Birthday,VIC,Monday
2026-09-25,Grand Final Day,VIC,Friday
2026-11-03,Melbourne Cup Day,VIC,Tuesday
2026-12-25,Christmas Day,VIC,Friday
2026-12-26,Boxing Day,VIC,Saturday
2026-12-28,Boxing Day (observed),VIC,Monday
2027-03-26,Good Friday,VIC,Friday
2027-03-29,Easter Monday,VIC,Monday
2027-01-01,New Year's Day,VIC,Friday
2027-01-26,Australia Day,VIC,Tuesday
2027-03-08,Labour Day,VIC,Monday
2027-03-27,Easter Saturday,VIC,Saturday
2027-03-28,Easter Sunday,VIC,Sunday
2027-04-25,ANZAC Day,VIC,Sunday
2027-06-14,King's Birthday,VIC,Monday
2027-09-24,Grand Final Day,VIC,Friday
2027-11-02,Melbourne Cup Day,VIC,Tuesday
2027-12-25,Christmas Day,VIC,Saturday
2027-12-27,Christmas Day (observed),VIC,Monday
2027-12-26,Boxing Day,VIC,Sunday
2027-12-28,Boxing Day (observed),VIC,Tuesday
2028-04-14,Good Friday,VIC,Friday
2028-04-17,Easter Monday,VIC,Monday
2028-01-01,New Year's Day,VIC,Saturday
2028-01-03,New Year's Day (observed),VIC,Monday
2028-01-26,Australia Day,VIC,Wednesday
2028-03-13,Labour Day,VIC,Monday
2028-04-15,Easter Saturday,VIC,Saturday
2028-04-16,Easter Sunday,VIC,Sunday
2028-04-25,ANZAC Day,VIC,Tuesday
2028-06-12,King's Birthday,VIC,Monday
2028-09-29,Grand Final Day,VIC,Friday
2028-11-07,Melbourne Cup Day,VIC,Tuesday
2028-12-25,Christmas Day,VIC,Monday
2028-12-26,Boxing Day,VIC,Tuesday
